feature,importance_mean,importance_std
age_group,0.07061584175432604,0.002967317365903256
checkup_recency,0.04136478933033598,0.0010033609221907437
employment_status,0.010561593607839837,0.0016989602780873817
income_group,0.009325425637090401,0.0006925526168160059
personal_doctor,0.008616936096942317,0.0007334900478174684
education_level,0.008338041705268352,0.0013119232859124174
marital_status,0.005242497562989246,0.0003654424773752201
race_ethnicity,0.0036939621889062525,0.0006045884116799214
insurance_status,0.003293092903755945,0.001015474625742211
smoking_status,0.0027829681486517765,0.0004837499928044519
urban_rural,0.0023298366799889393,0.000164426729387534
bmi_category,0.002310116874517032,0.0005114478305874024
cost_barrier,0.002168800388739034,0.0006768764761736561
heart_disease,0.0013736473120012694,0.00045625408205457387
sex,0.0012454926445446546,0.0003496680212583076
diabetes_status,0.001160282363408771,0.00012989246016620123
general_health,0.0007090167463852382,0.0003428676119702833
