name,model_type,n_features,path,notes,AUROC,AUPRC,Precision,Sensitivity,F1,Accuracy,Specificity
gb_M3_tuned,"Gradient Boosting (class-weighted, RandomizedSearchCV-tuned)",17,../data/processed/modelling/models/gb_M3_tuned.joblib,tuned via 10-iter/cv=3 RandomizedSearchCV on a 40k-row training subsample.,0.766167363983039,0.5974272433415069,0.49103668261563,0.638490253007051,0.5551388388027407,0.7290577641115747,
gb_M3,"Gradient Boosting (class-weighted, HistGradientBoostingClassifier defaults)",17,../data/processed/modelling/models/gb_M3.joblib,"Native categorical support, no one-hot encoding needed.",0.7658671009057627,0.5969656244390801,0.4887869520897044,0.6364164247200332,0.5529170119995676,0.7274983527344608,
ffnn_M3_tuned,"Feedforward Neural Network (class-weighted, RandomizedSearchCV-tuned)",17,../data/processed/modelling/models/ffnn_M3_tuned.joblib,tuned via 10-iter/cv=3 RandomizedSearchCV on a 40k-row training subsample.,0.7638268243416332,0.5909960461937892,0.4706365021685617,0.6661136457901286,0.5515678126180582,0.7132220513946849,
gb_M2,"Gradient Boosting (class-weighted, HistGradientBoostingClassifier defaults)",12,../data/processed/modelling/models/gb_M2.joblib,"Native categorical support, no one-hot encoding needed.",0.7635940760684553,0.5939524887585408,0.4878497557261595,0.6378266279552053,0.5528472821397756,0.7268174829782561,
ffnn_M3,"Feedforward Neural Network (class-weighted, MLPClassifier, hidden=(64,32))",17,../data/processed/modelling/models/ffnn_M3.joblib,early_stopping=True; sample_weight supported natively by MLPClassifier.fit in this sklearn version.,0.7623099814176312,0.5892860927967323,0.4941455071701092,0.623143923683119,0.5511978574311186,0.7313200087854163,
rf_M3_tuned,"Random Forest (class-weighted, RandomizedSearchCV-tuned)",17,../data/processed/modelling/models/rf_M3_tuned.joblib,tuned via 10-iter/cv=3 RandomizedSearchCV on a 40k-row training subsample.,0.7620259607989148,0.5904644453197225,0.4914156138645935,0.6291995022812111,0.5518370316478719,0.7294091807599385,
rf_M3,"Random Forest (class-weighted, min_samples_leaf=20)",17,../data/processed/modelling/models/rf_M3.joblib,"min_samples_leaf=20 is a non-searched anti-overfitting default, not a tuned value.",0.7612602073704384,0.5910029271225454,0.4985611992237168,0.6180008295313149,0.5518927327950218,0.734285086755985,
ffnn_M2,"Feedforward Neural Network (class-weighted, MLPClassifier, hidden=(64,32))",12,../data/processed/modelling/models/ffnn_M2.joblib,early_stopping=True; sample_weight supported natively by MLPClassifier.fit in this sklearn version.,0.7608790405191045,0.5896702269136289,0.4935346242205448,0.623724595603484,0.5510443385855625,0.7309027015154843,
rf_M2,"Random Forest (class-weighted, min_samples_leaf=20)",12,../data/processed/modelling/models/rf_M2.joblib,"min_samples_leaf=20 is a non-searched anti-overfitting default, not a tuned value.",0.7600552806111149,0.5889384172941587,0.4919459599896077,0.6282870178349232,0.5518196058431387,0.729782560948825,
logreg_M3,Logistic Regression (class-weighted),17,../data/processed/modelling/models/logreg_M3.joblib,"Baseline; class-weighted for imbalance, not for interpretation -- see Analysis of factors.",0.7546969481734978,0.5834678194598768,0.4729096989966555,0.645126503525508,0.5457543859649123,0.7156600043927082,
logreg_M2,Logistic Regression (class-weighted),12,../data/processed/modelling/models/logreg_M2.joblib,"Baseline; class-weighted for imbalance, not for interpretation -- see Analysis of factors.",0.752712787327438,0.58065887602578,0.4685683139534883,0.6418083782662796,0.5416739594637169,0.7124313639358665,
gb_M1,"Gradient Boosting (class-weighted, HistGradientBoostingClassifier defaults)",8,../data/processed/modelling/models/gb_M1.joblib,"Native categorical support, no one-hot encoding needed.",0.7211085177502045,0.5015205079163274,0.4278114632193113,0.6204064703442554,0.5064156820259336,0.6797935427190863,
ffnn_M1,"Feedforward Neural Network (class-weighted, MLPClassifier, hidden=(64,32))",8,../data/processed/modelling/models/ffnn_M1.joblib,early_stopping=True; sample_weight supported natively by MLPClassifier.fit in this sklearn version.,0.7183866018612105,0.4952355013465029,0.4381377936114969,0.6019079220240564,0.5071288789488398,0.6902262244673841,
rf_M1,"Random Forest (class-weighted, min_samples_leaf=20)",8,../data/processed/modelling/models/rf_M1.joblib,"min_samples_leaf=20 is a non-searched anti-overfitting default, not a tuned value.",0.7164969456334842,0.4939919207762961,0.4258071969040605,0.6115304852758192,0.5020430400435849,0.6788051833955634,
logreg_M1,Logistic Regression (class-weighted),8,../data/processed/modelling/models/logreg_M1.joblib,"Baseline; class-weighted for imbalance, not for interpretation -- see Analysis of factors.",0.7100828186966075,0.4831533420510505,0.4078799057280459,0.6603898797179594,0.5042916415925,0.6562486272787174,
gb_M3_tuned_calibrated,Gradient Boosting (isotonic-calibrated via CalibratedClassifierCV on held-out calibration split),17,../data/processed/modelling/models/gb_M3_tuned_calibrated.joblib,"Wraps the already-fitted gb_M3_tuned pipeline via FrozenEstimator -- base model not retrained, only an isotonic correction fit on the calibration split. Brier score 0.1898 (raw) -> 0.1538 (calibrated).",0.7658519128626604,0.5892031614820349,0.6926780674082683,0.3460804645375362,0.4615554818010842,0.7862068965517242,0.94470500373413
gb_M3_knn_imputed,"Gradient Boosting (class-weighted, tuned hyperparameters, KNN-imputed income/BMI)",17,../data/processed/modelling/models/gb_M3_knn_imputed.joblib,"Sensitivity branch: income_group/bmi_category 'Not reported' cells replaced with notebook 3's KNN-imputed values; same tuned hyperparameters as gb_M3_tuned, refit on this alternative training data.",0.7654619711931466,0.5968662903839468,0.49231163505894415,0.6374118622978018,0.5555435057658243,0.7299582692730068,0.7632860343539956
