feature,importance_mean,importance_std
age_group,0.11117198743153282,0.003969683316689563
checkup_recency,0.0328526565855972,0.0009157013872816985
education_level,0.010670505787762252,0.001296870318547391
income_group,0.010124046314760559,0.0006701588063727116
employment_status,0.009533714104755453,0.0008313010025806614
personal_doctor,0.00730438335119854,0.0008381761157750448
smoking_status,0.005170415725623556,0.0006308809937079321
race_ethnicity,0.004955788972394059,0.0005960077148700563
marital_status,0.0032210646924731635,0.00033147624524928907
insurance_status,0.002990914846859427,0.0004492871513578935
bmi_category,0.0015800545357258944,0.0002091974741735545
cost_barrier,0.0015493738371890053,0.0002450125103052136
urban_rural,0.0013389775151431804,0.00030368170174720845
general_health,0.0008039258171157471,0.00035558879866752697
diabetes_status,0.0007981989068738926,0.00036018501248274683
sex,0.0007036444531521413,0.00024139726520668413
heart_disease,0.0004719089153057077,9.17010082757301e-05
