Feature 1,Feature 2,Cramers_V
personal_doctor,checkup_recency,0.3331844577521065
age_group,employment_status,0.25003366110330844
insurance_status,personal_doctor,0.23759343769380514
education_level,income_group,0.21784445288174928
income_group,employment_status,0.196965991302292
insurance_status,checkup_recency,0.19206029961578747
insurance_status,cost_barrier,0.19184272844081873
sex,bmi_category,0.1877744166504093
employment_status,general_health,0.18668441449492565
general_health,heart_disease,0.18183671418589326
income_group,marital_status,0.1815471319171052
sex,employment_status,0.18091816994695512
race_ethnicity,urban_rural,0.175652128991926
income_group,general_health,0.16827005316509322
employment_status,insurance_status,0.15446581726242728
education_level,employment_status,0.15132103806740038
race_ethnicity,education_level,0.15112366253636583
general_health,diabetes_status,0.14788381770265915
education_level,general_health,0.1461885612538376
cost_barrier,general_health,0.14031801411945052
education_level,insurance_status,0.1395521745593254
employment_status,cost_barrier,0.13536685772166032
income_group,cost_barrier,0.1349010814897445
race_ethnicity,insurance_status,0.13445446331600203
sex,marital_status,0.1331553393821612
education_level,marital_status,0.132234855636926
age_group,insurance_status,0.13032581263835266
employment_status,heart_disease,0.12911989295353138
diabetes_status,heart_disease,0.12864294606462048
age_group,marital_status,0.12744533168817784
education_level,smoking_status,0.12703167771121632
employment_status,marital_status,0.12657685511326872
general_health,bmi_category,0.12434546102777455
income_group,insurance_status,0.12426049552965825
income_group,smoking_status,0.11790472112181433
income_group,bmi_category,0.1130356275714595
personal_doctor,cost_barrier,0.11239933175970657
race_ethnicity,marital_status,0.11146141638066352
age_group,bmi_category,0.1106468488897116
age_group,race_ethnicity,0.10896782051210076
age_group,income_group,0.10740791580457175
sex,income_group,0.10454436329854555
cost_barrier,checkup_recency,0.10435588921500397
diabetes_status,bmi_category,0.10361668735587158
employment_status,smoking_status,0.10244482395212451
general_health,smoking_status,0.10231109223658988
age_group,cost_barrier,0.10181640878552141
education_level,cost_barrier,0.10040809555773503
income_group,heart_disease,0.09959994619289243
employment_status,personal_doctor,0.09948044564062095
age_group,heart_disease,0.09786766730585571
age_group,personal_doctor,0.09640611403839058
race_ethnicity,income_group,0.09605458785041358
marital_status,insurance_status,0.095522190575966
marital_status,smoking_status,0.09461335843777409
race_ethnicity,employment_status,0.09419072333264462
race_ethnicity,cost_barrier,0.09245081102900157
race_ethnicity,personal_doctor,0.09097436749378701
marital_status,cost_barrier,0.08818139421248014
sex,heart_disease,0.0878804667206281
education_level,personal_doctor,0.08785765191453425
marital_status,general_health,0.08754494460467137
employment_status,diabetes_status,0.08531113888852673
sex,diabetes_status,0.08168321042141395
age_group,education_level,0.08116187014574074
income_group,diabetes_status,0.08090960935409207
income_group,urban_rural,0.0807135478664049
sex,personal_doctor,0.07950369792484427
sex,checkup_recency,0.07725900999827905
heart_disease,smoking_status,0.07718516403139657
cost_barrier,smoking_status,0.07625249045416015
employment_status,bmi_category,0.07272074984707173
marital_status,personal_doctor,0.07210793535400833
employment_status,checkup_recency,0.07101652218511814
education_level,bmi_category,0.07070005264534193
marital_status,bmi_category,0.07012765447239051
education_level,heart_disease,0.0700047676890109
age_group,checkup_recency,0.06894011586435389
race_ethnicity,general_health,0.06849222284582407
checkup_recency,diabetes_status,0.06737327744835606
education_level,urban_rural,0.06535639987837193
income_group,personal_doctor,0.06452785988130963
education_level,diabetes_status,0.0636920530509436
race_ethnicity,diabetes_status,0.06030598490074
age_group,smoking_status,0.05875027697803355
race_ethnicity,bmi_category,0.05791260508882417
age_group,diabetes_status,0.056724203286755315
personal_doctor,smoking_status,0.05633298633072999
personal_doctor,diabetes_status,0.05609585504527457
marital_status,heart_disease,0.055608164779488135
sex,smoking_status,0.05536410325637204
insurance_status,general_health,0.05487889010151506
insurance_status,smoking_status,0.05402402849209769
employment_status,urban_rural,0.053980497545776204
race_ethnicity,smoking_status,0.053369044583901785
smoking_status,bmi_category,0.05226202830224348
insurance_status,bmi_category,0.05167189557844866
checkup_recency,heart_disease,0.048267659852828666
marital_status,diabetes_status,0.04822945009240561
education_level,checkup_recency,0.046525412118009465
checkup_recency,smoking_status,0.046366890118678686
sex,education_level,0.04572099732404781
sex,race_ethnicity,0.044107849869594165
heart_disease,bmi_category,0.042916136164468065
marital_status,checkup_recency,0.04128045229657614
cost_barrier,heart_disease,0.04083032497213819
urban_rural,smoking_status,0.03915854387000014
personal_doctor,bmi_category,0.03888028064601808
checkup_recency,bmi_category,0.03832217757855594
race_ethnicity,checkup_recency,0.037737951017962415
age_group,urban_rural,0.037701953272741784
urban_rural,general_health,0.03747668100031459
personal_doctor,general_health,0.03743058022459736
marital_status,urban_rural,0.03660948883987666
checkup_recency,general_health,0.03583142251669125
personal_doctor,heart_disease,0.034722617375989376
cost_barrier,diabetes_status,0.03453391170504489
income_group,checkup_recency,0.03218994641184585
sex,cost_barrier,0.030913250293735168
race_ethnicity,heart_disease,0.028388248260179286
age_group,general_health,0.02817852171819216
insurance_status,diabetes_status,0.027097051315386558
sex,insurance_status,0.0240656945136673
insurance_status,heart_disease,0.023933006255769267
cost_barrier,bmi_category,0.023665890806948985
diabetes_status,smoking_status,0.022217551205831847
urban_rural,diabetes_status,0.02017518112926352
urban_rural,bmi_category,0.017007274742055312
sex,general_health,0.01646122342217808
urban_rural,heart_disease,0.01619225330973606
urban_rural,checkup_recency,0.013207995684697672
sex,urban_rural,0.009965590053902207
urban_rural,insurance_status,0.00949858021060571
urban_rural,personal_doctor,0.008299806617803223
urban_rural,cost_barrier,0.008077340681612467
age_group,sex,0.006417795978057574
