,n,predicted_risk_mean,observed_noncompliance_rate,n_noncompliant,cumulative_population_share,cumulative_noncompliant_captured,cumulative_capture_rate
Decile 1 (highest risk),4553,0.7549880332897968,0.740610586426532,3372,0.1,3372,0.27971795935296556
Decile 2,4553,0.47167899994559837,0.47573028772238085,2166,0.2,5538,0.4593944421401908
Decile 3,4553,0.35187216532078747,0.3533933670107621,1609,0.3,7147,0.5928660306926586
Decile 4,4553,0.27027716213741626,0.25763233033164945,1173,0.4,8320,0.6901700539195355
Decile 5,4553,0.21120050316458042,0.2036020206457281,927,0.5,9247,0.7670676068021568
Decile 6,4553,0.16674617866857513,0.18163848012299583,827,0.6,10074,0.8356698465367067
Decile 7,4553,0.13712696267038602,0.1416648363716231,645,0.7,10719,0.8891746163417669
Decile 8,4553,0.11989463058140014,0.12453327476389194,567,0.8,11286,0.9362090418913314
Decile 9,4553,0.09187484391728279,0.0979573907313859,446,0.9,11732,0.9732061385317295
Decile 10,4553,0.06733842415748628,0.07094223588842521,323,1.0,12055,1.0
