Equity field,Level,N,Observed rate,Mean predicted risk,AUROC,AUPRC,Sensitivity,Specificity
income_group,"$50,000 to < $100,000",11617,0.2313850391667384,0.23354019315908983,0.7687312675658237,0.5550635301563326,0.328125,0.9479224997200134
income_group,"$100,000 to < $200,000",9037,0.22540666150271108,0.22941073108457788,0.7605481099656357,0.539828612943953,0.2847324496809033,0.9598571428571429
income_group,Not reported,6936,0.28027681660899656,0.27544699825940455,0.7575213963741162,0.6029360509537813,0.35288065843621397,0.9463141025641025
income_group,"$35,000 to < $50,000",4691,0.2909827328927734,0.2862221615934934,0.7685053271042447,0.6356169133901853,0.40805860805860805,0.9428743235117258
income_group,"$25,000 to < $35,000",3957,0.3209502148091989,0.3097397016717808,0.7434728013854985,0.6306303459928387,0.40708661417322833,0.9248232229251954
income_group,"$15,000 to < $25,000",3546,0.3302312464749013,0.3317002837003144,0.7310500247202122,0.6162498311769375,0.3748932536293766,0.9187368421052632
income_group,"$200,000 or more",3484,0.1997703788748565,0.20360025915909075,0.7582527333894028,0.4642788992795576,0.21120689655172414,0.966284074605452
income_group,"Less than $15,000",2262,0.39080459770114945,0.39035685548828974,0.7285154069442895,0.6615878396216386,0.4117647058823529,0.8853410740203193
insurance_status,Insured,42533,0.24444548938471305,0.24375566172830962,0.748791156089553,0.5344465304988854,0.27931133980956047,0.9553149116255912
insurance_status,Uninsured,1701,0.7007642563198119,0.7072919856428846,0.7464242626020227,0.8667168989259822,0.8800335570469798,0.34577603143418467
insurance_status,Not reported,1296,0.3595679012345679,0.357103571277299,0.7604090180464347,0.6867133344675728,0.4699570815450644,0.9012048192771084
race_ethnicity,"White only, non-Hispanic",34911,0.24081235140786572,0.23970996978462109,0.7540262476927024,0.549169079375059,0.2904722255263471,0.9581195291276788
race_ethnicity,Hispanic,3447,0.4194952132288947,0.4182802499937144,0.7814801105671232,0.7352009394484591,0.5857538035961273,0.8330834582708646
race_ethnicity,"Black only, non-Hispanic",3436,0.2569848661233993,0.25592931504706096,0.7622986125620426,0.5400910967105514,0.2876557191392978,0.9443791617704661
race_ethnicity,"Other race only, non-Hispanic",2014,0.36941410129096325,0.37220019819330663,0.7616326940987215,0.669596060427797,0.47580645161290325,0.878740157480315
race_ethnicity,"Multiracial, non-Hispanic",894,0.2975391498881432,0.3253295226357521,0.7680726497773096,0.6117633134074552,0.424812030075188,0.9060509554140127
race_ethnicity,Not reported,828,0.37318840579710144,0.366441739692626,0.7914180244557932,0.7276067072127415,0.5242718446601942,0.8998073217726397
